latitude,longitude,kde,kde_norm
-39.4576,132.6087,1.238,2.03
-39.4576,133.2029,1.738,2.85
-39.4576,133.7971,2.401,3.94
-39.4576,134.3913,3.26,5.35
-39.4576,134.9855,4.345,7.13
-39.4576,135.5797,5.68,9.32
-39.4576,136.1739,7.278,11.94
-39.4576,136.7681,9.142,15.0
-39.4576,137.3623,11.258,18.47
-39.4576,137.9565,13.605,22.32
-39.4576,138.5507,16.154,26.5
-39.4576,139.1449,18.878,30.97
-39.4576,139.7391,21.754,35.69
-39.4576,140.3333,24.767,40.63
-39.4576,140.9275,27.9,45.77
-39.4576,141.5217,31.116,51.04
-39.4576,142.1159,34.327,56.31
-39.4576,142.7101,37.38,61.32
-39.4576,143.3043,40.061,65.72
-39.4576,143.8986,42.152,69.15
-39.4576,144.4928,43.496,71.35
-39.4576,145.087,44.044,72.25
-39.4576,145.6812,43.854,71.94
-39.4576,146.2754,43.044,70.61
-39.4576,146.8696,41.737,68.47
-39.4576,147.4638,40.027,65.66
-39.4576,148.058,37.985,62.31
-39.4576,148.6522,35.669,58.51
-39.4576,149.2464,33.141,54.37
-39.4576,149.8406,30.466,49.98
-39.4576,150.4348,27.711,45.46
-39.4576,151.029,24.936,40.91
-39.4576,151.6232,22.192,36.41
-39.4576,152.2174,19.525,32.03
-39.4576,152.8116,16.972,27.84
-39.4576,153.4058,14.567,23.9
-39.4576,154.0,12.334,20.23
-38.8898,131.4203,0.648,1.06
-38.8898,132.0145,0.944,1.55
-38.8898,132.6087,1.357,2.23
-38.8898,133.2029,1.92,3.15
-38.8898,133.7971,2.673,4.38
-38.8898,134.3913,3.654,5.99
-38.8898,134.9855,4.895,8.03
-38.8898,135.5797,6.421,10.53
-38.8898,136.1739,8.237,13.51
-38.8898,136.7681,10.331,16.95
-38.8898,137.3623,12.678,20.8
-38.8898,137.9565,15.238,25.0
-38.8898,138.5507,17.974,29.49
-38.8898,139.1449,20.857,34.22
-38.8898,139.7391,23.876,39.17
-38.8898,140.3333,27.041,44.36
-38.8898,140.9275,30.366,49.81
-38.8898,141.5217,33.839,55.51
-38.8898,142.1159,37.374,61.31
-38.8898,142.7101,40.783,66.9
-38.8898,143.3043,43.792,71.84
-38.8898,143.8986,46.11,75.64
-38.8898,144.4928,47.534,77.98
-38.8898,145.087,48.02,78.78
-38.8898,145.6812,47.682,78.22
-38.8898,146.2754,46.716,76.64
-38.8898,146.8696,45.314,74.34
-38.8898,147.4638,43.605,71.53
-38.8898,148.058,41.645,68.32
-38.8898,148.6522,39.45,64.72
-38.8898,149.2464,37.028,60.74
-38.8898,149.8406,34.4,56.43
-38.8898,150.4348,31.61,51.86
-38.8898,151.029,28.715,47.11
-38.8898,151.6232,25.779,42.29
-38.8898,152.2174,22.865,37.51
-38.8898,152.8116,20.029,32.86
-38.8898,153.4058,17.317,28.41
-38.8898,154.0,14.768,24.23
-38.322,131.4203,0.69,1.13
-38.322,132.0145,1.014,1.66
-38.322,132.6087,1.473,2.42
-38.322,133.2029,2.107,3.46
-38.322,133.7971,2.964,4.86
-38.322,134.3913,4.087,6.7
-38.322,134.9855,5.513,9.04
-38.322,135.5797,7.261,11.91
-38.322,136.1739,9.327,15.3
-38.322,136.7681,11.679,19.16
-38.322,137.3623,14.266,23.4
-38.322,137.9565,17.028,27.93
-38.322,138.5507,19.908,32.66
-38.322,139.1449,22.875,37.53
-38.322,139.7391,25.932,42.54
-38.322,140.3333,29.115,47.76
-38.322,140.9275,32.476,53.28
-38.322,141.5217,36.035,59.11
-38.322,142.1159,39.721,65.16
-38.322,142.7101,43.33,71.08
-38.322,143.3043,46.546,76.36
