census_year,clue_small_area,venue_count,total_seats,avg_lat,avg_lon,outdoor_seats,avg_seats_per_venue,outdoor_seat_share_pct,venue_share_pct,venue_index_0_100
2014,South Yarra,9,728,-37.83539784235295,144.9810636504706,145,80.9,19.9,0.4,0.1
2014,Southbank,145,18877,-37.82324158557078,144.96195519500912,3997,130.2,21.2,7.0,11.5
2014,West Melbourne (Industrial),8,430,-37.806909613636364,144.92229407154548,85,53.8,19.8,0.4,0.0
2014,West Melbourne (Residential),54,2850,-37.807916367888886,144.95118561724445,461,52.8,16.2,2.6,3.9
2015,Carlton,203,15919,-37.801208157851235,144.96597926767768,4084,78.4,25.7,9.6,16.0
2015,Docklands,181,21511,-37.817687469967105,144.94558482208882,4511,118.8,21.0,8.5,14.2
2015,East Melbourne,47,7494,-37.81299574725,144.9816371027625,896,159.4,12.0,2.2,3.2
2015,Kensington,41,5618,-37.79186489746032,144.92597485023808,467,137.0,8.3,1.9,2.7
2015,Melbourne (CBD),1228,97863,-37.81367443090383,144.96371011585393,16263,79.7,16.6,57.8,100.0
2015,Melbourne (Remainder),48,9892,-37.839906370987656,144.9783746475679,2209,206.1,22.3,2.3,3.3
2015,North Melbourne,92,5209,-37.80217968266666,144.94985499452,902,56.6,17.3,4.3,6.9
2015,Parkville,40,3726,-37.79277172868853,144.95675650178688,1256,93.2,33.7,1.9,2.6
2015,Port Melbourne,17,1195,-37.8254685578125,144.91758307534374,406,70.3,34.0,0.8,0.7
2015,South Yarra,10,832,-37.83532201888889,144.981023803,167,83.2,20.1,0.5,0.2
2015,Southbank,154,20295,-37.82348524093617,144.96190476458295,4493,131.8,22.1,7.3,12.0
2015,West Melbourne (Industrial),8,430,-37.806909613636364,144.9222940709091,85,53.8,19.8,0.4,0.0
2015,West Melbourne (Residential),54,2850,-37.807916367888886,144.9511856171778,461,52.8,16.2,2.5,3.8
2016,Carlton,223,17618,-37.80087006340369,144.9661276605488,4259,79.0,24.2,10.1,17.6
2016,Docklands,206,22874,-37.81722461747663,144.94632485102335,4815,111.0,21.1,9.4,16.2
2016,East Melbourne,51,7754,-37.81300612012195,144.98191152932927,942,152.0,12.1,2.3,3.8
2016,Kensington,41,5618,-37.7936725125,144.92519352820833,467,137.0,8.3,1.9,3.0
2016,Melbourne (CBD),1254,99142,-37.81367517354822,144.96384460235902,16647,79.1,16.8,57.0,100.0
2016,Melbourne (Remainder),48,9892,-37.838935288977275,144.9785210904091,2209,206.1,22.3,2.2,3.6
2016,North Melbourne,97,5520,-37.802934956933335,144.95067568978666,968,56.9,17.5,4.4,7.5
2016,Parkville,47,4079,-37.793102788405804,144.95687528805797,1380,86.8,33.8,2.1,3.5
2016,Port Melbourne,17,1195,-37.82556789074074,144.91666106166667,406,70.3,34.0,0.8,1.1
2016,South Yarra,10,832,-37.835323332222224,144.98103323233332,167,83.2,20.1,0.5,0.6
2016,Southbank,154,20295,-37.82340717753363,144.96177592911212,4493,131.8,22.1,7.0,12.1
2016,West Melbourne (Industrial),3,51,-37.80758268,144.91659713500002,18,17.0,35.3,0.1,0.0
2016,West Melbourne (Residential),49,2737,-37.80719354626667,144.95082339161334,537,55.9,19.6,2.2,3.7
2017,Carlton,223,17618,-37.80092451319899,144.9660994418665,4259,79.0,24.2,10.0,17.3
2017,Docklands,206,22874,-37.818020425275364,144.945949784829,4815,111.0,21.1,9.2,15.9
2017,East Melbourne,51,7754,-37.81291610535715,144.9819035867976,942,152.0,12.1,2.3,3.8
2017,Kensington,42,5635,-37.792027849264706,144.9265235882647,455,134.2,8.1,1.9,3.1
2017,Melbourne (CBD),1277,100200,-37.81373624967546,144.96369193402433,16590,78.5,16.6,57.3,100.0
2017,Melbourne (Remainder),46,8669,-37.83866158048781,144.97839496824392,1279,188.5,14.8,2.1,3.4
2017,North Melbourne,97,5520,-37.80234920621118,144.9499781089379,968,56.9,17.5,4.4,7.4
2017,Parkville,47,4079,-37.79261374643836,144.956143515,1380,86.8,33.8,2.1,3.5
2017,Port Melbourne,20,1319,-37.82560540916667,144.91824619383334,404,66.0,30.6,0.9,1.3
2017,South Yarra,9,776,-37.8351132525,144.98118128525002,151,86.2,19.5,0.4,0.5
2017,Southbank,158,20850,-37.82366642181818,144.9616778848554,4418,132.0,21.2,7.1,12.2
2017,West Melbourne (Industrial),3,51,-37.807855648,144.9201230818,18,17.0,35.3,0.1,0.0
2017,West Melbourne (Residential),49,2737,-37.80755896197531,144.95094224253086,537,55.9,19.6,2.2,3.6
2018,Carlton,215,15779,-37.80090313823684,144.9661980638,3846,73.4,24.4,9.5,16.3
2018,Docklands,214,22192,-37.8182151970317,144.9461373687752,4645,103.7,20.9,9.5,16.3
2018,East Melbourne,51,7599,-37.812867805783135,144.98184948622892,853,149.0,11.2,2.3,3.6
2018,Kensington,42,5635,-37.792027849264706,144.9265235882647,455,134.2,8.1,1.9,2.9
2018,Melbourne (CBD),1295,98868,-37.813711807290815,144.96366275378165,15215,76.3,15.4,57.4,100.0
2018,Melbourne (Remainder),46,8669,-37.83866158048781,144.97839496824392,1279,188.5,14.8,2.0,3.3
2018,North Melbourne,99,5438,-37.802092587515524,144.95004720272672,894,54.9,16.4,4.4,7.4
2018,Parkville,50,4215,-37.79289370662162,144.95583795437838,1366,84.3,32.4,2.2,3.6
2018,Port Melbourne,20,1319,-37.82560540916667,144.91824619383334,404,66.0,30.6,0.9,1.2
2018,South Yarra,9,776,-37.8351132525,144.98118128525002,151,86.2,19.5,0.4,0.4
2018,Southbank,158,20850,-37.82366642181818,144.9616778848554,4418,132.0,21.2,7.0,11.9
2018,West Melbourne (Industrial),4,78,-37.803722778,144.9178545086,8,19.5,10.3,0.2,0.0
2018,West Melbourne (Residential),55,2958,-37.80793123548387,144.95102780240862,570,53.8,19.3,2.4,4.0
2019,Carlton,215,15779,-37.80090313823684,144.9661980638,3846,73.4,24.4,9.5,16.5
2019,Docklands,214,22192,-37.8182151970317,144.9461373687752,4645,103.7,20.9,9.5,16.5
2019,East Melbourne,51,7599,-37.812867805783135,144.98184948622892,853,149.0,11.2,2.3,3.7
2019,Kensington,40,5709,-37.79185126015625,144.92657008267187,557,142.7,9.8,1.8,2.8
2019,Melbourne (CBD),1280,97640,-37.81369798267112,144.96352662915388,14662,76.3,15.0,56.8,100.0
2019,Melbourne (Remainder),46,9182,-37.83871522987805,144.97866254017072,1542,199.6,16.8,2.0,3.3
2019,North Melbourne,99,5438,-37.802092587515524,144.95004720272672,894,54.9,16.4,4.4,7.4
2019,Parkville,50,4215,-37.79289370662162,144.95583795437838,1366,84.3,32.4,2.2,3.6
2019,Port Melbourne,20,1251,-37.82565154472222,144.91773425188887,430,62.6,34.4,0.9,1.3
2019,South Yarra,10,810,-37.834627262352946,144.98144748458822,140,81.0,17.3,0.4,0.5
2019,Southbank,170,21241,-37.82363104292,144.961780209624,4410,124.9,20.8,7.5,13.0
