Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2630,Coffee and products,2019,2019,t,929.85,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2630,Coffee and products,2020,2020,1000 t,184,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2630,Coffee and products,2020,2020,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2630,Coffee and products,2020,2020,1000 t,29,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2630,Coffee and products,2020,2020,1000 t,155,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2630,Coffee and products,2020,2020,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2630,Coffee and products,2020,2020,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2630,Coffee and products,2020,2020,1000 t,153,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2630,Coffee and products,2020,2020,kg/cap,5.93,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2630,Coffee and products,2020,2020,kcal/cap/d,6.09,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2630,Coffee and products,2020,2020,million Kcal,57264.04,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2630,Coffee and products,2020,2020,g/cap/d,0.27,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2630,Coffee and products,2020,2020,t,2509.79,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2630,Coffee and products,2020,2020,g/cap/d,0.1,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2630,Coffee and products,2020,2020,t,900.44,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2630,Coffee and products,2021,2021,1000 t,195,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2630,Coffee and products,2021,2021,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2630,Coffee and products,2021,2021,1000 t,44,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2630,Coffee and products,2021,2021,1000 t,151,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2630,Coffee and products,2021,2021,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2630,Coffee and products,2021,2021,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2630,Coffee and products,2021,2021,1000 t,149,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2630,Coffee and products,2021,2021,kg/cap,5.73,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2630,Coffee and products,2021,2021,kcal/cap/d,5.74,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2630,Coffee and products,2021,2021,million Kcal,54422.81,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2630,Coffee and products,2021,2021,g/cap/d,0.25,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2630,Coffee and products,2021,2021,t,2355.52,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2630,Coffee and products,2021,2021,g/cap/d,0.1,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2630,Coffee and products,2021,2021,t,950.78,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2630,Coffee and products,2022,2022,1000 t,217,I,Value imputed by a receiving agency,
