rank,name,short_name,origin,badge,source_price_usd_per_kg,price_aud_approx,bean_count,price_label,au_favourite,source_note,source_url,bean_index,bean_col,bean_row,bean_unit_aud,full_label
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,31,6,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,32,7,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,33,8,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,34,9,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,35,10,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,36,11,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,37,12,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,38,13,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,39,14,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,40,15,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,41,16,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,42,17,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,43,18,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,44,19,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,45,20,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,46,21,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,47,22,1,1000,#1 Esmeralda Geisha
2,Ospina Dynasty Grand Cru,Ospina Dynasty,Colombia,luxury heritage,3395,5262,6,"A$5,262/kg",False,"Listed at about USD 1,540/lb; converted to USD/kg",https://cornercoffeestore.com/most-expensive-coffee/,1,0,0,1000,#2 Ospina Dynasty
2,Ospina Dynasty Grand Cru,Ospina Dynasty,Colombia,luxury heritage,3395,5262,6,"A$5,262/kg",False,"Listed at about USD 1,540/lb; converted to USD/kg",https://cornercoffeestore.com/most-expensive-coffee/,2,1,0,1000,#2 Ospina Dynasty
2,Ospina Dynasty Grand Cru,Ospina Dynasty,Colombia,luxury heritage,3395,5262,6,"A$5,262/kg",False,"Listed at about USD 1,540/lb; converted to USD/kg",https://cornercoffeestore.com/most-expensive-coffee/,3,2,0,1000,#2 Ospina Dynasty
2,Ospina Dynasty Grand Cru,Ospina Dynasty,Colombia,luxury heritage,3395,5262,6,"A$5,262/kg",False,"Listed at about USD 1,540/lb; converted to USD/kg",https://cornercoffeestore.com/most-expensive-coffee/,4,3,0,1000,#2 Ospina Dynasty
2,Ospina Dynasty Grand Cru,Ospina Dynasty,Colombia,luxury heritage,3395,5262,6,"A$5,262/kg",False,"Listed at about USD 1,540/lb; converted to USD/kg",https://cornercoffeestore.com/most-expensive-coffee/,5,4,0,1000,#2 Ospina Dynasty
2,Ospina Dynasty Grand Cru,Ospina Dynasty,Colombia,luxury heritage,3395,5262,6,"A$5,262/kg",False,"Listed at about USD 1,540/lb; converted to USD/kg",https://cornercoffeestore.com/most-expensive-coffee/,6,5,0,1000,#2 Ospina Dynasty
3,Black Ivory Coffee,Black Ivory,Thailand,rare process,3000,4650,5,"A$4,650/kg",False,"Approx. USD 3,000/kg luxury coffee estimate",https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,1,0,0,1000,#3 Black Ivory
3,Black Ivory Coffee,Black Ivory,Thailand,rare process,3000,4650,5,"A$4,650/kg",False,"Approx. USD 3,000/kg luxury coffee estimate",https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,2,1,0,1000,#3 Black Ivory
3,Black Ivory Coffee,Black Ivory,Thailand,rare process,3000,4650,5,"A$4,650/kg",False,"Approx. USD 3,000/kg luxury coffee estimate",https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,3,2,0,1000,#3 Black Ivory
3,Black Ivory Coffee,Black Ivory,Thailand,rare process,3000,4650,5,"A$4,650/kg",False,"Approx. USD 3,000/kg luxury coffee estimate",https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,4,3,0,1000,#3 Black Ivory
3,Black Ivory Coffee,Black Ivory,Thailand,rare process,3000,4650,5,"A$4,650/kg",False,"Approx. USD 3,000/kg luxury coffee estimate",https://www.espresso-international.com/blogs/coffee-insights/most-expensive-coffee-on-earth,5,4,0,1000,#3 Black Ivory
4,Kopi Luwak,Kopi Luwak,Indonesia,rare process,1300,2015,3,"A$2,015/kg",True,Approx. high-end retail estimate converted from per-pound claims,https://batchcoffee.co.uk/stories/the-most-expensive-coffee-in-the-world/,1,0,0,1000,#4 Kopi Luwak ★
4,Kopi Luwak,Kopi Luwak,Indonesia,rare process,1300,2015,3,"A$2,015/kg",True,Approx. high-end retail estimate converted from per-pound claims,https://batchcoffee.co.uk/stories/the-most-expensive-coffee-in-the-world/,2,1,0,1000,#4 Kopi Luwak ★
4,Kopi Luwak,Kopi Luwak,Indonesia,rare process,1300,2015,3,"A$2,015/kg",True,Approx. high-end retail estimate converted from per-pound claims,https://batchcoffee.co.uk/stories/the-most-expensive-coffee-in-the-world/,3,2,0,1000,#4 Kopi Luwak ★
5,Saint Helena Coffee,Saint Helena,Saint Helena,island rarity,870,1348,2,"A$1,348/kg",False,"Approx. rare coffee estimate, EUR/kg source converted approximately to USD-like value",https://koffiekenner.com/en/blogs/facts/the-8-most-expensive-coffees-in-the-world-what-makes-them-so-special,1,0,0,1000,#5 Saint Helena
5,Saint Helena Coffee,Saint Helena,Saint Helena,island rarity,870,1348,2,"A$1,348/kg",False,"Approx. rare coffee estimate, EUR/kg source converted approximately to USD-like value",https://koffiekenner.com/en/blogs/facts/the-8-most-expensive-coffees-in-the-world-what-makes-them-so-special,2,1,0,1000,#5 Saint Helena
6,Hacienda La Esmeralda Retail Geisha,Retail Geisha,Panama,competition variety,770,1194,2,"A$1,194/kg",False,Approx. USD 350/lb reported retail/market estimate,https://medium.com/@ecommcoffee/most-expensive-coffee-in-the-world-b5dcddb8d7e5,1,0,0,1000,#6 Retail Geisha
6,Hacienda La Esmeralda Retail Geisha,Retail Geisha,Panama,competition variety,770,1194,2,"A$1,194/kg",False,Approx. USD 350/lb reported retail/market estimate,https://medium.com/@ecommcoffee/most-expensive-coffee-in-the-world-b5dcddb8d7e5,2,1,0,1000,#6 Retail Geisha
7,Jamaica Blue Mountain,Blue Mountain,Jamaica,protected origin,200,310,1,A$310/kg,True,Australian market reporting: up to about AUD 200/kg; retained as low premium reference,https://www.beanscenemag.com.au/jamaica-blue-demand-at-all-time-high-merlo-says/,1,0,0,1000,#7 Blue Mountain ★
8,Hawaiian Kona Coffee,Kona,"Hawaii, USA",protected origin,160,248,1,A$248/kg,False,Approx. premium retail estimate,https://batchcoffee.co.uk/stories/the-most-expensive-coffee-in-the-world/,1,0,0,1000,#8 Kona
9,Finca El Injerto Bourbon,El Injerto,Guatemala,competition lot,120,186,1,A$186/kg,False,Approx. premium/competition coffee estimate for visual comparison,https://beancraft.coffee/blogs/news/the-costliest-coffees-in-the-world,1,0,0,1000,#9 El Injerto
10,Molokai Coffee,Molokai,"Hawaii, USA",island rarity,100,155,1,A$155/kg,False,Approx. premium retail estimate for visual comparison,https://batchcoffee.co.uk/stories/the-most-expensive-coffee-in-the-world/,1,0,0,1000,#10 Molokai
